date,time,open,high,low,close,volume
2017/1/4,2:15,19060,19065,19050,19065,1644
2017/1/4,2:30,19065,19065,19045,19060,1522
2017/1/4,2:45,19060,19060,19035,19040,3134
2017/1/4,3:00,19040,19055,19040,19050,875
2017/1/4,3:15,19055,19065,19045,19050,1367
2017/1/4,3:30,19050,19060,19040,19045,1378
2017/1/4,3:45,19045,19050,19040,19040,479
2017/1/4,4:00,19045,19045,19020,19025,1554
2017/1/4,4:15,19025,19030,19020,19020,823
2017/1/4,4:30,19020,19045,19015,19040,1887
2017/1/4,4:45,19040,19045,19010,19020,1233
2017/1/4,5:00,19025,19045,19020,19045,1243
2017/1/4,5:15,19040,19045,19000,19010,2500
2017/1/4,5:30,19035,19035,19035,19035,2766
2017/1/4,8:45,19275,19285,19260,19270,32539
2017/1/4,9:00,19270,19365,19265,19345,63049
2017/1/4,9:15,19345,19390,19345,19365,40030
2017/1/4,9:30,19365,19385,19350,19380,26079
2017/1/4,9:45,19380,19445,19370,19435,40190
2017/1/4,10:00,19435,19450,19420,19440,26706
2017/1/4,10:15,19435,19460,19420,19450,30042
2017/1/4,10:30,19450,19490,19440,19475,31636
2017/1/4,10:45,19475,19500,19470,19495,24308
2017/1/4,11:00,19495,19520,19485,19505,28359
2017/1/4,11:15,19505,19530,19495,19510,24253
2017/1/4,11:30,19510,19515,19495,19505,7479
2017/1/4,11:45,19505,19515,19490,19495,10372
2017/1/4,12:00,19490,19515,19485,19505,7457
2017/1/4,12:15,19510,19515,19500,19505,3109
2017/1/4,12:30,19505,19525,19480,19520,18833
2017/1/4,12:45,19515,19525,19500,19520,19517
2017/1/4,13:00,19520,19540,19510,19535,24568
2017/1/4,13:15,19535,19560,19530,19540,24528
2017/1/4,13:30,19535,19550,19530,19535,11920
2017/1/4,13:45,19530,19560,19530,19555,16685
2017/1/4,14:00,19555,19570,19550,19560,18850
2017/1/4,14:15,19560,19580,19560,19575,17173
2017/1/4,14:30,19575,19590,19570,19575,20815
2017/1/4,14:45,19575,19590,19560,19580,28453
2017/1/4,15:00,19585,19635,19575,19625,42357
2017/1/4,15:15,19630,19630,19630,19630,9127
2017/1/5,16:30,19610,19620,19610,19615,9006
2017/1/5,16:45,19615,19625,19605,19610,6231
2017/1/5,17:00,19610,19615,19575,19580,13175
2017/1/5,17:15,19575,19590,19570,19585,9907
2017/1/5,17:30,19585,19595,19570,19585,7150
2017/1/5,17:45,19580,19585,19560,19565,7976
2017/1/5,18:00,19565,19570,19545,19550,6948
2017/1/5,18:15,19550,19570,19540,19570,9771
2017/1/5,18:30,19565,19570,19555,19570,3812
2017/1/5,18:45,19565,19580,19560,19575,5672
2017/1/5,19:00,19575,19590,19570,19580,4478
2017/1/5,19:15,19585,19595,19575,19580,4609
2017/1/5,19:30,19575,19585,19575,19580,2710
2017/1/5,19:45,19575,19585,19565,19575,4996
